id,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
6d075c67,Mahame Siby,ml MLI,DF,Strasbourg,25,1996,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,100.0,Matches
ae5b93a0,Aboubakar Sidibé,fr FRA,DF,Clermont Foot,25,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
4c5b714f,Djibril Sidibé,fr FRA,DF,Monaco,29,1992,10.5,6,0,0,17,9,0,23,16,13,0,1,0,52,14,4,77.8,Matches
9c2b1f11,Kaj Sierhuis,nl NED,FW,Reims,23,1998,0.9,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,25.0,Matches
30af8b93,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,24,1997,29.6,5,0,0,19,22,2,127,27,30,1,0,0,205,13,27,32.5,Matches
4914ed4a,Gabriel Silva,br BRA,"DF,MF",Saint-Étienne,30,1991,7.9,1,0,0,9,16,0,7,18,7,0,0,0,25,6,15,28.6,Matches
5f3eaaf5,Moses Simon,ng NGA,"FW,MF",Nantes,26,1995,25.9,3,0,0,14,26,4,207,12,11,0,0,0,119,15,22,40.5,Matches
da4d670f,Xavi Simons,nl NED,"MF,FW",Paris S-G,18,2003,1.5,1,0,0,2,4,0,1,0,1,0,0,0,8,2,1,66.7,Matches
792a9d41,Issouf Sissokho,ml MLI,MF,Bordeaux,19,2002,4.8,3,1,1,12,7,0,6,7,8,0,0,0,34,1,5,16.7,Matches
0f8418aa,Ibrahima Sissoko,fr FRA,"MF,DF",Strasbourg,23,1997,25.6,6,0,0,60,28,0,21,35,23,1,0,0,169,59,29,67.0,Matches
12bd0579,Nelson Sissoko,fr FRA,DF,Saint-Étienne,24,1997,0.5,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,,Matches
e4bb1f08,Sambou Sissoko,fr FRA,"MF,DF",Reims,22,1999,2.0,0,0,0,1,4,0,1,2,6,0,0,0,12,4,2,66.7,Matches
ffec9769,Islam Slimani,dz ALG,FW,Lyon,33,1988,6.4,3,0,0,6,5,11,1,2,2,0,0,0,18,11,10,52.4,Matches
7a42d0df,Florian Sotoca,fr FRA,"FW,MF",Lens,30,1990,27.6,7,0,0,37,34,8,48,25,19,0,0,0,116,89,48,65.0,Matches
7cc00776,Sambou Soumano,sn SEN,"FW,MF",Lorient,20,2001,5.0,1,0,0,13,10,7,4,1,1,0,0,0,14,18,20,47.4,Matches
4e0afc5d,Arnaud Souquet,fr FRA,DF,Montpellier,29,1992,25.9,4,0,0,28,24,0,77,34,35,0,1,0,144,42,33,56.0,Matches
f6b94e8d,Saidou Sow,gn GUI,DF,Saint-Étienne,19,2002,11.0,2,0,0,9,4,0,3,23,17,0,0,0,74,28,32,46.7,Matches
8f7e6783,Calvin Stengs,nl NED,MF,Nice,22,1998,11.9,1,0,0,15,7,2,41,8,7,0,1,0,57,2,12,14.3,Matches
a62f8bf1,Kamaldeen Sulemana,gh GHA,"MF,FW",Rennes,19,2002,11.3,3,0,0,19,14,3,28,4,12,0,0,0,45,5,3,62.5,Matches
2aeb43f1,Abdoulaye Sylla,gn GUI,DF,Nantes,21,2000,1.7,1,0,0,5,0,0,1,1,4,0,1,0,7,2,2,50.0,Matches
95192fe4,Waniss Taibi,fr FRA,"MF,FW",Angers,19,2002,1.5,2,0,0,6,1,0,0,1,7,0,0,0,9,3,2,60.0,Matches
a0f9b535,Flavien Tait,fr FRA,MF,Rennes,28,1993,23.6,3,0,0,30,48,3,9,19,19,1,0,0,150,8,14,36.4,Matches
ed39121c,Florian Tardieu,fr FRA,MF,Troyes,29,1992,29.2,6,0,0,19,37,0,135,42,25,0,0,0,223,28,20,58.3,Matches
abd56820,Oussama Targhalline,ma MAR,FW,Marseille,19,2002,0.1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,,Matches
a3c8b4d3,Loum Tchaouna,fr FRA,"FW,MF",Rennes,17,2003,1.0,0,0,0,0,1,2,4,2,1,0,0,0,7,2,0,100.0,Matches
93b8f9f4,Warren Tchimbembé,cg CGO,MF,Metz,23,1998,2.3,0,0,0,2,3,0,2,2,1,0,0,0,16,1,1,50.0,Matches
4f255115,Aurélien Tchouaméni,fr FRA,MF,Monaco,21,2000,32.5,11,1,1,51,59,2,17,101,45,0,1,0,262,77,31,71.3,Matches
829aa60c,Mathys Tel,fr FRA,"FW,MF",Rennes,16,2005,0.6,0,0,0,5,0,0,6,1,1,0,0,0,6,0,2,0.0,Matches
4f093689,Jordan Tell,fr FRA,FW,Clermont Foot,24,1997,3.2,1,0,0,3,3,0,2,0,5,0,0,0,13,5,7,41.7,Matches
5148dcc5,Martin Terrier,fr FRA,"FW,MF",Rennes,24,1997,30.9,1,0,0,28,41,6,28,18,33,1,0,0,110,41,50,45.1,Matches
7120a04d,Tetê,br BRA,"FW,MF",Lyon,21,2000,6.5,1,0,0,4,18,3,20,3,5,0,0,0,30,4,6,40.0,Matches
f4bc42b1,Sada Thioub,sn SEN,FW,Angers,26,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
f4bc42b1,Sada Thioub,sn SEN,"DF,MF",Saint-Étienne,26,1995,10.6,2,0,0,7,5,0,32,10,8,0,0,0,69,5,8,38.5,Matches
275e2c51,Romain Thomas,fr FRA,DF,Angers,33,1988,28.5,9,0,0,38,19,0,0,44,37,0,0,0,153,67,37,64.4,Matches
c76b7567,Adrien Thomasson,fr FRA,MF,Strasbourg,27,1993,26.5,2,1,0,35,34,4,57,29,31,0,0,0,177,16,30,34.8,Matches
db23d9fc,Thuler,br BRA,DF,Montpellier,22,1999,9.5,3,1,1,12,2,0,2,9,12,0,1,0,36,15,9,62.5,Matches
7d9397f8,Khéphren Thuram-Ulie,fr FRA,MF,Nice,20,2001,21.1,4,0,0,33,14,1,10,28,19,1,0,0,127,21,21,50.0,Matches
9ddf7fae,Cheikh Tidiane Sabaly,sn SEN,"FW,MF",Metz,22,1999,1.7,0,0,0,0,1,0,0,0,3,0,0,0,10,0,3,0.0,Matches
88f130ed,Jean-Clair Todibo,fr FRA,DF,Nice,21,1999,34.6,6,0,0,24,10,0,9,51,37,0,1,0,228,70,45,60.9,Matches
5ceba7fc,Karl Toko Ekambi,cm CMR,FW,Lyon,28,1992,25.5,3,0,0,16,16,10,51,20,7,0,0,0,97,33,21,61.1,Matches
4e47507a,Yoann Touzghar,tn TUN,FW,Troyes,34,1986,16.2,0,0,0,7,19,8,8,3,2,0,0,0,35,25,40,38.5,Matches
4eb0686f,Amadou Traore,fr FRA,FW,Bordeaux,19,2002,0.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,Matches
999ceb5f,Boubacar Traoré,ml MLI,MF,Metz,19,2001,19.2,9,1,1,53,15,0,1,25,26,0,0,0,138,17,10,63.0,Matches
de488e56,Charles Traore,ml MLI,DF,Nantes,29,1992,8.0,3,0,0,22,7,0,5,15,12,0,0,0,54,15,9,62.5,Matches
a4b1028a,Hamari Traoré,ml MLI,DF,Rennes,29,1992,32.1,4,0,0,46,24,9,81,37,36,0,1,1,177,37,38,49.3,Matches
b666421b,Ismaël Traoré,ci CIV,DF,Angers,34,1986,35.7,1,0,0,15,6,0,5,44,17,0,0,0,215,47,34,58.0,Matches
e4b72e34,Miguel Trauco,pe PER,"DF,MF",Saint-Étienne,28,1992,12.4,3,0,0,8,8,0,46,23,18,0,0,0,65,11,13,45.8,Matches
5d0e0a1f,Adrien Truffert,fr FRA,DF,Rennes,19,2001,18.2,4,0,0,24,20,0,47,19,21,1,1,0,91,16,27,37.2,Matches
cc41f558,Matthieu Udol,fr FRA,DF,Metz,25,1996,11.2,0,0,0,2,6,0,27,31,14,0,0,0,64,23,11,67.6,Matches
8a53d24b,Ike Ugbo,ca CAN,FW,Troyes,22,1998,9.0,0,0,0,10,16,2,1,2,1,1,0,0,23,10,27,27.0,Matches
1df4a109,Chimuanya Ugochukwu,fr FRA,MF,Rennes,17,2004,4.5,2,0,0,14,1,0,0,4,9,0,0,0,17,3,7,30.0,Matches
a2d873dd,Hwang Ui-jo,kr KOR,FW,Bordeaux,28,1992,27.9,3,0,0,17,23,22,32,5,4,0,1,0,34,14,43,24.6,Matches
1880614f,Cengiz Ünder,tr TUR,"FW,MF",Marseille,24,1997,24.4,2,1,1,11,33,12,115,14,13,1,0,0,72,9,8,52.9,Matches
d75f3980,Jere Uronen,fi FIN,DF,Brest,27,1994,9.8,0,0,0,4,9,0,18,16,15,0,0,0,42,12,7,63.2,Matches
ee45fd85,Vanderson,br BRA,"FW,DF",Monaco,20,2001,12.4,3,0,0,19,11,3,28,13,19,0,0,0,88,14,16,46.7,Matches
4ade359f,Jonathan Varane,fr FRA,MF,Lens,19,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
1467af0d,Marco Verratti,it ITA,MF,Paris S-G,28,1992,21.5,12,0,0,32,48,1,9,18,40,0,0,1,127,5,11,31.3,Matches
64f69877,Kevin Volland,de GER,"MF,FW",Monaco,29,1992,27.1,10,0,0,53,28,17,21,3,10,2,0,1,89,29,61,32.2,Matches
8eec784d,Timothy Weah,us USA,"MF,FW",Lille,21,2000,18.0,2,1,0,11,20,6,48,10,7,1,0,0,74,21,29,42.0,Matches
eb58eef0,Georginio Wijnaldum,nl NED,MF,Paris S-G,30,1990,18.4,2,0,0,6,15,0,1,9,9,0,1,0,74,11,5,68.8,Matches
b003239d,Christopher Wooh,cm CMR,DF,Lens,19,2001,11.7,2,0,0,9,11,0,1,21,11,1,1,0,52,27,14,65.9,Matches
f3600c02,Xeka,pt POR,MF,Lille,26,1994,18.0,10,0,0,32,17,0,34,24,27,1,0,0,137,22,24,47.8,Matches
bce37ac0,Sekou Yansané,gn GUI,FW,Paris S-G,18,2003,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
f5c8b425,Yusuf Yazıcı,tr TUR,"MF,FW",Lille,24,1997,5.7,3,0,0,7,9,1,32,2,5,0,0,0,35,5,6,45.5,Matches
165a2e40,Burak Yılmaz,tr TUR,FW,Lille,36,1985,24.6,9,1,0,24,23,41,42,2,2,1,0,0,31,26,35,42.6,Matches
6763f716,Leny Yoro,fr FRA,MF,Lille,15,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
e2f9bb5f,Zaydou Youssouf,fr FRA,MF,Saint-Étienne,22,1999,17.3,3,1,0,20,24,1,21,17,26,0,0,1,140,12,17,41.4,Matches
0ff630d0,Akim Zedadka,dz ALG,DF,Clermont Foot,26,1995,37.1,5,0,0,28,89,5,124,58,44,0,1,0,232,28,26,51.9,Matches
095e4199,Arber Zeneli,xk KVX,FW,Reims,26,1995,4.5,0,0,0,4,6,1,23,1,0,0,0,0,19,0,7,0.0,Matches
53f6306f,Mehdi Zerkane,dz ALG,"MF,DF",Bordeaux,22,1999,0.9,0,0,0,1,2,0,0,2,0,0,0,0,4,1,2,33.3,Matches
34a88e3e,Edon Zhegrova,xk KVX,"MF,FW",Lille,22,1999,5.3,2,1,1,5,4,0,30,2,5,0,1,0,32,1,2,33.3,Matches
aefa3050,Banhie Zoukrou,fr FRA,DF,Troyes,18,2003,0.9,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,50.0,Matches
