id,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1394bf42,Bright Arrey-Mbi,de GER,DF,de Bayern Munich,17,2003,0.7,23,18,5,0,0,0,0,5,0,0,0,0,21,0,1,Matches
1e465e70,Sergio Arribas,es ESP,FW,es Real Madrid,18,2001,0.4,24,24,0,0,0,0,0,0,0,0,0,0,23,0,0,Matches
28d596a0,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,25,1994,1.0,25,18,7,2,0,0,0,0,0,0,0,0,22,0,0,Matches
45af8a54,Marco Asensio,es ESP,FW,es Real Madrid,24,1996,6.9,324,309,12,3,1,6,26,3,6,3,0,0,258,3,14,Matches
552e00b9,Majeed Ashimeru,gh GHA,MF,at RB Salzburg,22,1997,0.5,42,42,0,0,0,0,0,0,0,0,0,0,41,0,0,Matches
10549b49,Sardar Azmoun,ir IRN,FW,ru Zenit,25,1995,3.2,76,67,8,0,0,1,3,0,0,0,0,0,51,1,0,Matches
53cad200,César Azpilicueta,es ESP,DF,eng Chelsea,30,1989,10.7,756,659,94,24,0,2,13,70,0,0,0,0,620,3,11,Matches
8b683d09,Demba Ba,sn SEN,FW,tr Başakşehir,35,1985,3.6,92,82,9,2,0,0,1,0,0,0,0,0,68,1,1,Matches
60c07b31,Ousseynou Ba,sn SEN,DF,gr Olympiacos,24,1995,2.1,106,105,1,1,0,3,0,0,0,0,0,0,92,0,1,Matches
6a2b9aee,Youssouph Badji,sn SEN,FW,be Club Brugge,18,2001,0.4,7,7,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
a8567629,Mitchel Bakker,nl NED,DF,fr Paris S-G,20,2000,4.6,199,164,34,4,0,1,2,30,0,0,0,0,160,1,8,Matches
7c3ed041,Leonardo Balerdi,ar ARG,DF,fr Marseille,21,1999,2.8,181,177,4,4,0,1,0,0,0,0,0,0,164,0,1,Matches
ed33f42d,Tudor Băluță,ro ROU,MF,ua Dynamo Kyiv,21,1999,0.1,4,3,1,1,0,0,0,0,0,0,0,0,4,0,0,Matches
6928979a,Nicolò Barella,it ITA,MF,it Inter,23,1997,5.9,326,315,8,4,0,2,21,4,0,0,0,0,250,3,11,Matches
a4e16ab4,Romário Baró,pt POR,MF,pt Porto,20,2000,0.7,28,26,2,1,0,0,0,0,0,0,0,0,21,0,0,Matches
8e7f49d3,Wílmar Barrios,co COL,MF,ru Zenit,26,1993,5.5,300,293,7,7,0,2,2,0,0,0,0,0,257,0,2,Matches
75b86fb3,Alessandro Bastoni,it ITA,DF,it Inter,21,1999,4.6,342,331,9,6,0,8,4,3,0,0,0,0,288,2,6,Matches
c432ba7d,Roko Baturina,hr CRO,FW,hu Ferencváros,20,2000,0.4,14,14,0,0,0,0,0,0,0,0,0,0,11,0,0,Matches
50dc94ce,Donny van de Beek,nl NED,"MF,FW",eng Manchester Utd,23,1997,3.1,189,187,2,1,0,0,0,0,0,0,0,0,164,0,4,Matches
57d88cf9,Jude Bellingham,eng ENG,MF,de Dortmund,17,2003,7.6,353,346,6,2,1,3,3,0,0,0,0,0,295,1,4,Matches
bef0a7ac,Darío Benedetto,ar ARG,FW,fr Marseille,30,1990,2.9,41,35,6,0,0,3,1,0,0,0,0,0,30,0,1,Matches
fe888e39,László Bénes,sk SVK,MF,de M'Gladbach,22,1997,0.2,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
378825c7,Ramy Bensebaini,dz ALG,DF,de M'Gladbach,25,1995,5.0,239,201,35,5,0,2,4,30,0,0,0,0,176,3,9,Matches
3b8674e6,Rodrigo Bentancur,uy URU,MF,it Juventus,23,1997,5.2,369,350,17,11,0,8,12,0,6,5,1,0,320,2,9,Matches
70d74ece,Karim Benzema,fr FRA,FW,es Real Madrid,32,1987,9.3,364,345,19,0,0,2,4,0,0,0,0,0,315,0,9,Matches
b39bf63f,Marcus Berg,se SWE,FW,ru Krasnodar,33,1986,5.7,134,123,11,0,0,0,2,1,0,0,0,0,88,0,3,Matches
eb6e14be,Mergim Berisha,de GER,"MF,FW",at RB Salzburg,22,1998,5.2,127,119,5,0,2,0,6,0,1,0,0,0,88,3,6,Matches
ee93c1a9,Federico Bernardeschi,it ITA,"MF,FW",it Juventus,26,1994,1.7,87,75,12,0,0,0,18,4,8,0,7,0,65,0,6,Matches
3cdfc63e,Miha Blažič,si SVN,DF,hu Ferencváros,27,1993,6.0,461,440,20,19,0,10,0,1,0,0,0,0,391,1,8,Matches
691bef82,Daley Blind,nl NED,"DF,MF",nl Ajax,30,1990,4.6,333,309,24,24,0,5,2,0,0,0,0,0,277,0,1,Matches
2db2fd7b,Jérôme Boateng,de GER,DF,de Bayern Munich,31,1988,5.8,426,412,13,12,0,4,2,1,0,0,0,0,377,1,0,Matches
9c2b4382,Franck Boli,ci CIV,FW,hu Ferencváros,26,1993,0.9,20,15,5,0,0,0,0,1,0,0,0,0,19,0,0,Matches
c603ad6a,Boli Bolingoli-Mbombo,be BEL,DF,tr Başakşehir,25,1995,4.1,214,172,41,2,0,1,10,39,0,0,0,0,167,1,4,Matches
7713c72a,Valerii Bondar,ua UKR,DF,ua Shakhtar,21,1999,6.0,344,335,9,9,0,2,0,0,0,0,0,0,304,0,1,Matches
52ec54d0,Leonardo Bonucci,it ITA,DF,it Juventus,33,1987,5.5,428,411,16,14,1,5,0,1,0,0,0,0,387,1,0,Matches
2cb77ec6,Endre Botka,hu HUN,DF,hu Ferencváros,25,1994,2.9,152,133,19,0,0,0,5,19,0,0,0,0,117,0,3,Matches
1c07b06e,Andreas Bouchalakis,gr GRE,MF,gr Olympiacos,27,1993,4.6,251,247,2,2,1,3,2,0,0,0,0,0,206,2,6,Matches
f6798fc3,Yassine Bounou,ma MAR,GK,es Sevilla,29,1991,5.0,144,113,31,6,0,1,0,0,0,0,0,0,122,0,0,Matches
20e73fac,Benjamin Bourigeaud,fr FRA,MF,fr Rennes,26,1994,4.1,250,213,37,9,0,6,33,1,21,11,10,0,198,0,7,Matches
1e064bfb,Denys Boyko,ua UKR,GK,ua Dynamo Kyiv,32,1988,1.0,39,33,6,1,0,0,0,0,0,0,0,0,34,0,0,Matches
fd771f95,Martin Braithwaite,dk DEN,FW,es Barcelona,29,1991,2.6,49,44,3,0,0,0,0,0,0,0,0,0,36,2,1,Matches
a167537f,Julian Brandt,de GER,MF,de Dortmund,24,1996,2.4,182,179,3,0,0,6,3,2,1,0,1,0,156,0,2,Matches
4c184730,Brian Brobbey,nl NED,FW,nl Ajax,18,2002,0.5,14,13,1,0,0,0,1,0,0,0,0,0,12,0,1,Matches
33b8d077,Marcelo Brozović,hr CRO,MF,it Inter,27,1992,4.1,358,326,31,13,3,1,21,0,18,3,11,0,299,1,11,Matches
5caa62a7,Bruma,pt POR,"FW,MF",gr Olympiacos,25,1994,0.7,42,40,2,0,0,0,1,2,0,0,0,0,33,0,4,Matches
e40d028b,Gianluigi Buffon,it ITA,GK,it Juventus,42,1978,1.0,27,13,14,1,0,0,0,0,0,0,0,0,23,0,0,Matches
9d12e142,Roman Bürki,ch SUI,GK,de Dortmund,29,1990,4.0,137,103,34,10,0,0,0,0,0,0,0,0,108,0,1,Matches
eb2b33aa,Heorhiy Bushchan,ua UKR,GK,ua Dynamo Kyiv,26,1994,4.0,,,,,,,1,,,,,,,,,Matches
5ab0ea87,Sergio Busquets,es ESP,MF,es Barcelona,32,1988,3.7,359,348,11,11,1,3,1,0,0,0,0,0,336,0,0,Matches
b8814868,Vitaliy Buyalskyi,ua UKR,"FW,MF",ua Dynamo Kyiv,27,1993,3.8,93,87,5,1,0,0,2,0,4,0,0,0,77,1,2,Matches
148e136f,Rémy Cabella,fr FRA,"MF,FW",ru Krasnodar,30,1990,2.8,134,121,13,6,1,0,5,0,4,0,2,0,111,0,4,Matches
038aa94a,Júnior Caiçara,br BRA,DF,tr Başakşehir,31,1989,0.3,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
93b891d1,Felipe Caicedo,ec ECU,FW,it Lazio,31,1988,1.5,49,49,0,0,0,0,0,0,0,0,0,0,41,0,0,Matches
928a4a61,Jens Cajuste,se SWE,MF,dk Midtjylland,20,1999,3.6,113,106,7,6,0,0,1,0,0,0,0,0,81,0,9,Matches
ac7e640b,Mattia Caldara,it ITA,MF,it Atalanta,26,1994,0.1,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
94f8d10c,Duje Ćaleta-Car,hr CRO,DF,fr Marseille,23,1996,4.0,259,247,11,11,0,3,0,0,0,0,0,0,225,1,0,Matches
13ea2544,Mohamed Camara,gn GUI,MF,gr Olympiacos,23,1997,3.2,146,143,3,2,0,0,4,1,0,0,0,0,108,0,5,Matches
489e80e3,Mohamed Camara,ml MLI,MF,at RB Salzburg,20,2000,4.6,263,255,7,7,1,5,0,0,0,0,0,0,212,1,5,Matches
7b9c2d84,Eduardo Camavinga,fr FRA,MF,fr Rennes,17,2002,3.6,170,164,6,4,0,1,1,2,0,0,0,0,155,0,2,Matches
873619c6,Sergio Camello,es ESP,FW,es Atlético Madrid,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
a65ce836,Emre Can,de GER,"MF,DF",de Dortmund,26,1994,5.2,212,202,10,9,0,4,0,1,0,0,0,0,177,0,1,Matches
bd6351cd,João Cancelo,pt POR,DF,eng Manchester City,26,1994,6.7,625,558,64,6,0,3,15,58,0,0,0,0,544,3,9,Matches
b4a014b1,Diego Carlos,br BRA,DF,es Sevilla,27,1993,8.0,608,590,16,14,0,8,1,2,0,0,0,0,534,2,1,Matches
de39485a,Yannick Carrasco,be BEL,"MF,DF",es Atlético Madrid,26,1993,4.2,183,159,22,7,0,0,22,7,8,5,2,0,134,2,3,Matches
4958bfb2,Dani Carvajal,es ESP,DF,es Real Madrid,28,1992,1.8,144,134,10,0,0,0,1,10,0,0,0,0,127,0,1,Matches
4d224fe8,Casemiro,br BRA,MF,es Real Madrid,28,1992,9.2,646,634,10,9,1,14,5,1,0,0,0,0,542,2,10,Matches
ba3d3bea,Danilo Cataldi,it ITA,MF,it Lazio,25,1994,1.0,68,63,5,3,0,0,3,0,2,0,2,0,59,0,1,Matches
527f063d,Edinson Cavani,uy URU,FW,eng Manchester Utd,33,1987,2.3,57,54,3,0,0,0,1,0,0,0,0,0,46,0,2,Matches
10fe831e,Murilo Cerqueira,br BRA,DF,ru Loko Moscow,23,1997,5.0,197,189,8,8,0,1,0,0,0,0,0,0,162,0,1,Matches
5b54bf3b,Nacer Chadli,be BEL,MF,tr Başakşehir,30,1989,1.3,50,49,1,0,0,0,2,1,0,0,0,0,38,0,3,Matches
15975a3c,Yevgeni Chernov,ru RUS,DF,ru Krasnodar,27,1992,3.2,114,80,34,3,0,0,11,25,5,0,2,0,68,0,2,Matches
e85fb9b8,Giorgio Chiellini,it ITA,DF,it Juventus,35,1984,1.6,168,163,4,4,0,2,0,0,0,0,0,0,153,1,0,Matches
b0f7e36c,Federico Chiesa,it ITA,"MF,FW",it Juventus,22,1997,6.1,213,193,19,4,1,3,29,4,11,6,3,0,149,1,10,Matches
d2424d1b,Ben Chilwell,eng ENG,"DF,FW",eng Chelsea,23,1996,8.6,523,420,100,15,0,1,29,79,6,4,2,0,383,3,15,Matches
1cb49278,Andreas Christensen,dk DEN,DF,eng Chelsea,24,1996,6.6,404,391,13,11,1,1,0,2,0,0,0,0,358,0,3,Matches
5fcb90ac,Eldar Ćivić,ba BIH,DF,hu Ferencváros,24,1996,0.7,27,22,4,1,0,0,2,3,0,0,0,0,22,1,0,Matches
b3a712de,Viktor Claesson,se SWE,"FW,MF",ru Krasnodar,28,1992,3.2,101,98,3,1,0,0,0,1,1,0,0,0,75,0,5,Matches
d5dafedb,Leighton Clarkson,eng ENG,MF,eng Liverpool,18,2001,1.0,56,56,0,0,0,1,0,0,0,0,0,0,41,0,0,Matches
042e8a49,Kingsley Coman,fr FRA,FW,de Bayern Munich,24,1996,6.0,252,249,2,0,0,0,31,2,0,0,0,0,189,1,14,Matches
5ef3d210,Francisco Conceição,pt POR,"FW,MF",pt Porto,17,2002,0.1,5,5,0,0,0,0,1,0,0,0,0,0,4,0,1,Matches
0331786b,Dion Cools,my MAS,DF,dk Midtjylland,24,1996,2.3,121,85,36,4,0,3,10,32,0,0,0,0,82,0,2,Matches
6ceef869,Vedran Ćorluka,hr CRO,DF,ru Loko Moscow,34,1986,4.5,185,165,20,20,0,1,1,0,0,0,0,0,142,0,0,Matches
fb938d24,Jesús Corona,mx MEX,"MF,FW",pt Porto,27,1993,8.4,270,248,22,2,1,3,17,20,0,0,0,0,201,0,11,Matches
01eb744d,Ángel Correa,ar ARG,"MF,FW",es Atlético Madrid,25,1995,5.4,209,205,3,0,1,0,13,0,3,0,2,0,150,1,14,Matches
45b9b619,Joaquín Correa,ar ARG,FW,it Lazio,25,1994,7.4,225,210,13,1,1,2,4,2,4,1,3,0,182,2,6,Matches
93fffbcf,Diogo Costa,pt POR,GK,pt Porto,20,1999,1.0,45,33,12,4,0,0,0,0,0,0,0,0,21,0,0,Matches
4fa7cb9b,Douglas Costa,br BRA,"FW,MF",de Bayern Munich,29,1990,2.6,130,118,12,0,0,0,12,3,9,5,2,0,99,0,2,Matches
1840e36d,Thibaut Courtois,be BEL,GK,es Real Madrid,28,1992,12.0,455,350,105,20,0,0,0,0,0,0,0,0,366,0,0,Matches
0ef89a37,Philippe Coutinho,br BRA,"FW,MF",es Barcelona,28,1992,1.5,121,116,4,1,1,1,4,0,3,3,0,0,96,1,1,Matches
06f33dc8,Enzo Crivelli,fr FRA,FW,tr Başakşehir,25,1995,2.7,61,48,12,0,1,0,0,0,0,0,0,0,49,1,0,Matches
0ab1f153,Juan Cuadrado,co COL,DF,it Juventus,32,1988,6.1,476,410,62,11,0,8,59,34,17,6,9,0,384,4,9,Matches
5722eced,Mickaël Cuisance,fr FRA,"MF,FW",fr Marseille,20,1999,2.6,158,151,7,5,0,1,6,1,1,1,0,0,122,0,3,Matches
4c14af32,Szymon Czyż,pl POL,MF,it Lazio,19,2001,0.3,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
44eb9093,Danilo D'Ambrosio,it ITA,DF,it Inter,31,1988,3.4,241,217,24,5,0,0,4,19,0,0,0,0,213,0,3,Matches
1ec7e1c5,Damien Da Silva,fr FRA,DF,fr Rennes,32,1988,5.8,333,329,4,3,0,1,0,1,0,0,0,0,284,0,0,Matches
29c02c9f,Colin Dagba,fr FRA,DF,fr Paris S-G,21,1998,2.5,84,66,18,2,0,1,1,16,0,0,0,0,71,0,5,Matches
db4ed67b,Mahmoud Dahoud,de GER,MF,de Dortmund,24,1996,5.4,305,302,2,2,3,2,2,0,0,0,0,0,266,1,4,Matches
ca45605e,Patson Daka,zm ZAM,FW,at RB Salzburg,21,1998,2.3,56,50,6,0,0,0,3,3,0,0,0,0,33,0,2,Matches
94b2001f,Danilo,br BRA,DF,it Juventus,29,1991,6.3,484,438,44,12,1,7,1,32,0,0,0,0,429,2,2,Matches
96e0490d,Matteo Darmian,it ITA,DF,it Inter,30,1989,1.9,95,75,20,0,0,2,7,20,0,0,0,0,70,0,5,Matches
d781d855,Alphonso Davies,ca CAN,DF,de Bayern Munich,19,2000,3.6,302,272,30,2,0,1,8,28,0,0,0,0,263,0,4,Matches
e46012d4,Kevin De Bruyne,be BEL,"MF,FW",eng Manchester City,29,1991,7.4,476,422,49,16,5,6,42,6,23,13,3,2,367,5,9,Matches
2ef7c612,Charles De Ketelaere,be BEL,"FW,DF",be Club Brugge,19,2001,5.1,193,181,10,1,0,1,8,8,0,0,0,0,139,2,8,Matches
4b77bb89,Konrad De La Fuente,us USA,FW,es Barcelona,19,2001,0.2,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches
0be95d34,Romain Del Castillo,fr FRA,"FW,MF",fr Rennes,24,1996,1.5,60,59,1,1,0,1,3,0,0,0,0,0,45,0,2,Matches
fe641c1a,Thomas Delaney,dk DEN,"MF,DF",de Dortmund,28,1991,4.8,276,271,5,3,0,5,3,2,0,0,0,0,240,0,5,Matches
6b6cbca4,Simon Deli,ci CIV,DF,be Club Brugge,28,1991,3.5,237,231,4,3,0,9,0,1,0,0,0,0,207,2,0,Matches
e7986081,Moussa Dembélé,fr FRA,"FW,MF",es Atlético Madrid,24,1996,0.5,11,10,1,0,0,0,1,0,0,0,0,0,7,0,0,Matches
b19db005,Ousmane Dembélé,fr FRA,FW,es Barcelona,23,1997,4.2,201,193,7,0,0,3,11,1,5,3,0,0,155,1,6,Matches
e3cceee6,Merih Demiral,tr TUR,DF,it Juventus,22,1998,4.4,336,319,17,6,0,2,0,11,0,0,0,0,308,0,2,Matches
2c44a35d,Emmanuel Dennis,ng NGA,"FW,MF",be Club Brugge,22,1997,3.8,117,111,5,0,0,0,7,2,0,0,0,0,82,1,4,Matches
85686f86,Dentinho,br BRA,FW,ua Shakhtar,31,1989,1.8,38,34,4,0,1,1,1,0,0,0,0,0,33,0,0,Matches
d97f2e8d,Fabio Depaoli,it ITA,DF,it Atalanta,23,1997,0.1,8,5,2,1,0,0,2,1,0,0,0,0,4,1,0,Matches
5976f83e,Sergiño Dest,us USA,DF,es Barcelona,19,2000,6.5,452,402,49,2,0,0,18,47,0,0,0,0,399,1,11,Matches
19cda00b,Ángel Di María,ar ARG,"FW,MF",fr Paris S-G,32,1988,7.7,358,311,43,11,4,6,42,11,21,9,6,0,249,4,13,Matches
fc62f087,Abdou Diallo,sn SEN,DF,fr Paris S-G,24,1996,5.6,291,258,33,10,0,2,8,23,0,0,0,0,237,0,5,Matches
9dc96f10,Amad Diallo,ci CIV,FW,it Atalanta,18,2002,0.3,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
31c69ef1,Rúben Dias,pt POR,DF,eng Manchester City,23,1997,10.8,905,896,8,7,0,4,0,1,0,0,0,0,853,1,2,Matches
8104e41e,Krépin Diatta,sn SEN,"MF,FW",be Club Brugge,21,1999,4.6,210,197,10,1,0,4,11,5,3,0,0,0,152,3,4,Matches
4a1a9578,Luis Díaz,co COL,"FW,MF",pt Porto,23,1997,5.0,117,110,4,1,0,2,4,0,0,0,0,0,90,3,3,Matches
4030c7ae,Dénes Dibusz,hu HUN,GK,hu Ferencváros,29,1990,6.0,242,185,57,17,0,1,0,0,0,0,0,0,196,0,0,Matches
6eee05f1,Berat Djimsiti,al ALB,DF,it Atalanta,27,1993,8.0,415,386,29,10,0,2,1,19,0,0,0,0,325,0,10,Matches
b5f7d10b,Dodô,br BRA,DF,ua Shakhtar,21,1998,6.0,337,293,44,9,0,1,10,35,0,0,0,0,283,0,8,Matches
fffea3e5,Jeremy Doku,be BEL,"FW,MF",fr Rennes,18,2002,4.5,151,150,1,0,0,0,16,1,0,0,0,0,116,0,4,Matches
5526deb1,Thomas Doyle,eng ENG,MF,eng Manchester City,18,2001,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
8954fddc,Mohamed Dräger,tn TUN,DF,gr Olympiacos,24,1996,0.7,27,22,5,0,0,1,2,5,0,0,0,0,18,0,3,Matches
620922ed,Radu Drăgușin,ro ROU,DF,it Juventus,18,2002,0.2,26,26,0,0,0,0,0,0,0,0,0,0,25,0,0,Matches
1a992676,Julian Draxler,de GER,"FW,MF",fr Paris S-G,26,1993,3.0,109,106,3,1,0,0,5,0,2,2,0,0,88,0,3,Matches
c6486b01,Anders Dreyer,dk DEN,"FW,MF",dk Midtjylland,22,1998,5.5,146,125,20,13,2,4,19,1,6,3,1,2,100,1,5,Matches
60e86875,Sebastián Driussi,ar ARG,"MF,FW",ru Zenit,24,1996,3.1,135,123,11,4,0,1,7,1,6,2,2,0,106,1,1,Matches
37e103f8,Hugo Duro,es ESP,FW,es Real Madrid,20,1999,0.2,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches
303636d2,Lasha Dvali,ge GEO,DF,hu Ferencváros,25,1995,4.1,321,308,13,13,0,2,0,0,0,0,0,0,275,0,2,Matches
e0921a4f,Paulo Dybala,ar ARG,"FW,MF",it Juventus,26,1993,2.4,127,118,7,0,0,2,2,0,1,0,1,0,108,2,2,Matches
448a3608,Artem Dzyuba,ru RUS,FW,ru Zenit,31,1988,3.8,146,142,4,0,1,1,1,3,0,0,0,0,87,0,7,Matches
f0fc9d0e,Éder,pt POR,FW,ru Loko Moscow,32,1987,2.8,59,56,3,0,0,0,1,0,0,0,0,0,40,0,3,Matches
3bb7b8b4,Ederson,br BRA,GK,eng Manchester City,26,1993,12.0,333,271,62,15,0,1,0,1,0,0,0,0,287,0,0,Matches
73d6a176,Jurgen Ekkelenkamp,nl NED,MF,nl Ajax,20,2000,1.0,32,31,1,0,0,0,1,1,0,0,0,0,23,0,1,Matches
48035304,Nico Elvedi,ch SUI,DF,de M'Gladbach,23,1996,6.9,394,389,5,4,0,1,0,0,0,0,0,0,370,0,1,Matches
0b4f388a,Breel Embolo,ch SUI,"FW,MF",de M'Gladbach,23,1997,3.3,84,76,8,0,0,1,0,0,0,0,0,0,67,0,1,Matches
04e17fd5,Youssef En-Nesyri,ma MAR,FW,es Sevilla,23,1997,4.3,57,45,12,0,0,0,1,1,0,0,0,0,42,0,2,Matches
58dda688,Alexandru Epureanu,md MDA,DF,tr Başakşehir,33,1986,4.5,207,204,3,3,0,1,1,0,0,0,0,0,169,0,0,Matches
980522ec,Christian Eriksen,dk DEN,"MF,FW",it Inter,28,1992,1.1,69,63,5,0,0,1,6,1,4,2,2,0,56,1,2,Matches
1c78737d,Aleksandr Erokhin,ru RUS,"MF,FW",ru Zenit,30,1989,3.0,67,66,0,0,0,0,4,0,0,0,0,0,51,1,2,Matches
3f79a1c8,Gonzalo Escalante,ar ARG,MF,it Lazio,27,1993,1.6,95,94,1,1,0,1,0,0,0,0,0,0,83,0,1,Matches
