id,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
3bb7f478,Edin Džeko,ba BIH,FW,Inter,35,1986,27.4,14,8,7,4,3,8,25,32.0,17,22,5,17,4,18,35,0,Matches
6af30900,Tyronne Ebuehi,ng NGA,DF,Venezia,25,1995,12.6,28,12,16,8,4,10,18,55.6,8,13,3,10,16,44,38,1,Matches
a9202def,Éderson,br BRA,MF,Salernitana,22,1999,12.7,29,18,11,14,4,14,26,53.8,12,11,2,9,19,48,8,0,Matches
f503ea63,Albin Ekdal,se SWE,MF,Sampdoria,32,1989,18.2,43,28,17,21,5,26,56,46.4,30,27,7,20,29,72,25,0,Matches
7afbd2c3,Caleb Ekuban,gh GHA,"FW,MF",Genoa,27,1994,19.1,19,12,2,12,5,7,23,30.4,16,19,5,14,9,28,6,0,Matches
cf007308,Elif Elmas,mk MKD,"FW,MF",Napoli,21,1999,18.0,25,15,10,10,5,12,28,42.9,16,13,2,11,8,33,17,0,Matches
0fee6bda,Martin Erlic,hr CRO,DF,Spezia,23,1998,28.6,28,16,18,10,0,10,18,55.6,8,54,39,15,28,56,122,1,Matches
3f79a1c8,Gonzalo Escalante,ar ARG,MF,Lazio,28,1993,0.1,1,0,1,0,0,1,1,100.0,0,2,1,1,1,2,0,0,Matches
a39b9ef6,Diego Falcinelli,it ITA,FW,Bologna,30,1991,0.7,2,2,2,0,0,0,0,,0,0,0,0,1,3,1,0,Matches
9f5a610b,Wladimiro Falcone,it ITA,GK,Sampdoria,26,1995,9.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,Matches
9085dd7c,Paolo Faragò,it ITA,MF,Cagliari,28,1993,0.2,1,1,1,0,0,0,0,,0,2,0,2,0,1,0,0,Matches
aae9d04a,Davide Faraoni,it ITA,DF,Hellas Verona,29,1991,28.6,62,40,38,21,3,29,62,46.8,33,38,5,33,23,85,62,1,Matches
b7a5bc86,Mohamed Fares,dz ALG,"DF,FW",Genoa,25,1996,6.5,4,2,1,3,0,0,4,0.0,4,8,3,5,8,12,11,0,Matches
157d29b6,Diego Farias,br BRA,"MF,FW",Cagliari,31,1990,0.7,1,1,0,1,0,1,3,33.3,2,0,0,0,0,1,0,0,Matches
44510fde,Andrea Favilli,it ITA,FW,Genoa,24,1997,0.4,1,1,0,0,1,0,0,,0,0,0,0,0,1,2,0,Matches
4e358a2d,Federico Fazio,ar ARG,DF,Salernitana,34,1987,15.9,17,11,10,6,1,9,12,75.0,3,21,16,5,27,44,67,1,Matches
15d0c248,Luiz Felipe,it ITA,DF,Lazio,24,1997,27.7,41,23,21,16,4,20,34,58.8,14,40,33,7,33,74,102,1,Matches
d0dbca9f,Alex Ferrari,it ITA,DF,Sampdoria,27,1994,18.3,40,22,28,9,3,19,33,57.6,14,31,22,9,39,79,63,1,Matches
eb76987d,Salvador Ferrer,es ESP,"DF,MF",Spezia,23,1998,16.6,32,18,15,9,8,12,25,48.0,13,24,12,12,18,50,46,0,Matches
9f9b9269,Riccardo Fiamozzi,it ITA,DF,Empoli,28,1993,6.9,7,5,2,2,3,2,4,50.0,2,6,5,1,7,14,12,0,Matches
9bb1ad91,Luca Fiordilino,it ITA,MF,Venezia,25,1996,7.3,21,13,11,6,4,13,27,48.1,14,14,4,10,11,32,12,0,Matches
a2565f79,Vincenzo Fiorillo,it ITA,GK,Salernitana,31,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
e288d4b3,Alessandro Florenzi,it ITA,"DF,FW",Milan,30,1991,12.8,28,14,14,7,7,14,32,43.8,18,9,2,7,27,55,10,1,Matches
d60c26fc,Fernando Forestieri,it ITA,"FW,MF",Udinese,31,1990,0.6,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
69e11a01,Francesco Forte,it ITA,FW,Venezia,28,1993,4.7,3,2,0,2,1,2,5,40.0,3,1,0,1,0,3,2,0,Matches
d80b1835,Gianluca Frabotta,it ITA,"DF,MF",Hellas Verona,22,1999,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,Matches
2a7d27c1,Davide Frattesi,it ITA,MF,Sassuolo,21,1999,31.7,46,16,26,18,2,26,52,50.0,26,44,12,32,29,75,62,1,Matches
f4d60499,Morten Frendrup,dk DEN,"DF,MF",Genoa,20,2001,7.7,40,24,19,13,8,13,29,44.8,16,19,2,17,17,57,7,1,Matches
98d2c2c4,Remo Freuler,ch SUI,MF,Atalanta,29,1992,26.3,69,39,22,33,14,30,70,42.9,40,48,8,40,35,104,26,1,Matches
c235e803,Matteo Gabbia,it ITA,DF,Milan,21,1999,6.0,4,3,1,3,0,0,4,0.0,4,2,2,0,8,12,12,0,Matches
8f866fe8,Manolo Gabbiadini,it ITA,"FW,MF",Sampdoria,29,1991,12.7,6,4,3,2,1,1,7,14.3,6,5,2,3,3,9,10,0,Matches
3b387cc7,Gianluca Gaetano,it ITA,MF,Napoli,21,2000,0.2,1,1,1,0,0,1,2,50.0,1,0,0,0,2,3,0,0,Matches
1d00a56c,Luca Gagliano,it ITA,"FW,DF",Cagliari,21,2000,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
ce30bfc8,Roberto Gagliardini,it ITA,MF,Inter,27,1994,7.2,12,6,7,4,1,1,13,7.7,12,14,5,9,9,21,7,0,Matches
173061c0,Riccardo Gagliolo,se SWE,DF,Salernitana,31,1990,12.6,23,12,16,4,3,16,27,59.3,11,15,8,7,28,51,52,0,Matches
a796492f,Nicolas Galazzi,it ITA,MF,Venezia,20,2000,0.2,2,1,1,0,1,0,1,0.0,1,0,0,0,0,2,0,0,Matches
dd403465,Pablo Galdames Millán,cl CHI,MF,Genoa,24,1996,11.4,28,12,6,16,6,12,35,34.3,23,16,2,14,8,36,9,1,Matches
53e494ec,Luca Gemello,it ITA,GK,Torino,21,2000,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
71dc23da,Paolo Ghiglione,it ITA,DF,Genoa,24,1997,6.7,17,12,8,6,3,9,14,64.3,5,11,5,6,10,27,12,1,Matches
c5adc293,Faouzi Ghoulam,dz ALG,DF,Napoli,30,1991,3.7,3,1,1,2,0,0,3,0.0,3,2,1,1,3,6,10,0,Matches
2b7c18ae,Sebastian Giovinco,it ITA,MF,Sampdoria,34,1987,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
16ceb862,Olivier Giroud,fr FRA,FW,Milan,34,1986,21.0,15,11,4,6,5,3,17,17.6,14,13,4,9,3,18,19,0,Matches
fc4f85b1,Diego Godín,uy URU,DF,Cagliari,35,1986,9.1,18,7,13,3,2,10,15,66.7,5,7,5,2,13,31,46,0,Matches
4b029b31,Edoardo Goldaniga,it ITA,DF,Cagliari,27,1993,10.4,12,5,7,5,0,4,11,36.4,7,8,5,3,22,34,23,0,Matches
4b029b31,Edoardo Goldaniga,it ITA,"DF,MF",Sassuolo,27,1993,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
ff37d2ef,Cedric Gondo,ci CIV,FW,Salernitana,24,1996,7.8,5,2,2,2,1,2,5,40.0,3,2,0,2,3,8,2,0,Matches
2374aaca,Nicolás González,ar ARG,FW,Fiorentina,23,1998,26.2,21,16,6,8,7,9,28,32.1,19,26,2,24,21,42,4,1,Matches
2d970560,Robin Gosens,de GER,DF,Atalanta,27,1994,5.1,7,3,3,4,0,4,8,50.0,4,4,0,4,9,16,1,0,Matches
2d970560,Robin Gosens,de GER,DF,Inter,27,1994,1.9,3,1,1,2,0,0,0,,0,5,2,3,3,6,3,0,Matches
6cc97b6a,Alberto Grassi,it ITA,MF,Cagliari,26,1995,24.2,47,26,13,30,4,16,38,42.1,22,27,9,18,63,110,33,1,Matches
f1f1f238,Koray Günter,de GER,DF,Hellas Verona,26,1994,26.8,32,18,19,11,2,16,32,50.0,16,27,21,6,69,101,110,1,Matches
b79858d5,Albert Guðmundsson,is ISL,"FW,MF",Genoa,24,1997,6.7,5,3,2,1,2,3,8,37.5,5,2,0,2,5,10,4,0,Matches
f9758dae,Emmanuel Gyasi,gh GHA,"FW,MF",Spezia,27,1994,33.7,47,30,31,9,7,21,41,51.2,20,22,4,18,16,63,43,1,Matches
0be276c6,Norbert Gyömbér,sk SVK,DF,Salernitana,29,1992,28.5,53,32,40,11,2,33,50,66.0,17,38,24,14,44,97,126,1,Matches
fa449bba,Nicolas Haas,ch SUI,MF,Empoli,25,1996,11.1,35,22,15,10,10,17,39,43.6,22,24,4,20,9,44,17,1,Matches
74419746,Samir Handanović,si SVN,GK,Inter,37,1984,37.0,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,6,3,Matches
c8d7131c,Ridgeciano Haps,sr SUR,DF,Venezia,28,1993,22.8,36,20,26,4,6,11,21,52.4,10,34,12,22,29,65,57,1,Matches
65fd099c,Abdou Harroui,nl NED,MF,Sassuolo,23,1998,5.0,11,4,4,7,0,8,11,72.7,3,14,0,14,4,15,5,0,Matches
3b333ac3,Hans Hateboer,nl NED,"DF,MF",Atalanta,27,1994,15.4,22,14,10,8,4,11,26,42.3,15,11,1,10,7,29,20,0,Matches
f8342731,Silvan Hefti,ch SUI,DF,Genoa,23,1997,14.3,50,30,23,22,5,32,58,55.2,26,20,4,16,20,70,34,1,Matches
d7918b13,Liam Henderson,sct SCO,MF,Empoli,25,1996,22.4,22,13,7,8,7,9,31,29.0,22,14,4,10,9,31,13,0,Matches
f45f9427,Dalbert Henrique,br BRA,"DF,MF",Cagliari,27,1993,23.1,43,23,23,16,4,11,35,31.4,24,28,5,23,24,67,34,0,Matches
a2d9f138,Matheus Henrique,br BRA,MF,Sassuolo,23,1997,12.0,10,3,6,3,1,6,24,25.0,18,14,2,12,7,17,12,1,Matches
9ef42479,Thomas Henry,fr FRA,FW,Venezia,26,1994,23.5,9,4,2,3,4,5,13,38.5,8,11,5,6,2,11,25,0,Matches
d4c9725f,Theo Hernández,fr FRA,DF,Milan,23,1997,30.1,53,35,34,14,5,29,40,72.5,11,16,3,13,23,76,29,3,Matches
6f5ead86,Hernani,br BRA,"MF,FW",Genoa,27,1994,7.6,20,10,8,9,3,13,32,40.6,19,17,4,13,13,33,5,1,Matches
6d70c771,Daan Heymans,be BEL,"MF,FW",Venezia,22,1999,2.8,3,1,1,2,0,1,5,20.0,4,7,3,4,4,7,3,0,Matches
1780bb4a,Aaron Hickey,sct SCO,DF,Bologna,19,2002,31.3,46,29,24,15,7,20,30,66.7,10,36,13,23,29,75,44,0,Matches
b85bf253,Martin Hongla,cm CMR,MF,Hellas Verona,23,1998,7.2,14,8,5,6,3,4,8,50.0,4,6,2,4,4,18,16,1,Matches
5b418e15,Sydney van Hooijdonk,nl NED,"FW,MF",Bologna,21,2000,0.4,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
d8800a46,Petko Hristov,bg BUL,DF,Spezia,22,1999,13.9,17,10,11,6,0,10,16,62.5,6,29,23,6,19,36,47,0,Matches
2f3452eb,Elseid Hysaj,al ALB,DF,Lazio,27,1994,22.5,46,30,25,17,4,29,45,64.4,16,18,6,12,24,70,34,1,Matches
82efe6fa,Roger Ibanez,br BRA,DF,Roma,22,1998,32.1,54,32,31,19,4,26,43,60.5,17,26,7,19,62,116,104,2,Matches
4cde5509,Zlatan Ibrahimović,se SWE,FW,Milan,39,1981,11.3,0,0,0,0,0,0,2,0.0,2,2,1,1,3,3,9,0,Matches
a4e85758,Igor,br BRA,DF,Fiorentina,23,1998,24.9,53,31,34,16,3,30,40,75.0,10,37,19,18,31,84,46,4,Matches
42eaa028,Jonathan Ikone,fr FRA,FW,Fiorentina,23,1998,7.2,7,3,2,3,2,3,10,30.0,7,10,2,8,1,8,2,0,Matches
bb376bed,Ivan Ilić,rs SRB,MF,Hellas Verona,20,2001,28.1,39,18,16,19,4,20,54,37.0,34,34,12,22,22,61,55,0,Matches
68252d6d,Josip Iličić,si SVN,"MF,FW",Atalanta,33,1988,9.3,7,7,3,2,2,4,17,23.5,13,6,1,5,3,10,1,0,Matches
4431aed2,Ciro Immobile,it ITA,FW,Lazio,31,1990,30.1,10,5,4,4,2,1,15,6.7,14,7,1,6,3,13,16,0,Matches
2f557579,Lorenzo Insigne,it ITA,FW,Napoli,30,1991,25.4,23,14,8,12,3,8,44,18.2,36,30,1,29,20,43,3,1,Matches
6b635f5c,Ardian Ismajli,al ALB,DF,Empoli,24,1996,14.1,13,9,8,4,1,5,14,35.7,9,21,11,10,24,37,80,0,Matches
89976232,Armando Izzo,it ITA,DF,Torino,29,1992,5.8,16,9,14,2,0,9,11,81.8,2,5,4,1,17,33,21,0,Matches
8c65eb5f,Mato Jajalo,ba BIH,MF,Udinese,33,1988,7.0,24,14,14,7,3,11,23,47.8,12,7,0,7,11,35,5,0,Matches
958a601f,Paweł Jaroszyński,pl POL,DF,Salernitana,26,1994,5.7,10,5,7,3,0,5,7,71.4,2,4,0,4,10,20,19,0,Matches
79083382,Juan Jesus,br BRA,DF,Napoli,30,1991,14.2,25,17,14,11,0,12,18,66.7,6,21,16,5,9,34,34,0,Matches
66784dee,Dennis Johnsen,no NOR,"FW,MF",Venezia,23,1998,16.1,14,10,8,4,2,6,18,33.3,12,14,1,13,5,19,3,0,Matches
0cf465f2,Kaio Jorge,br BRA,"MF,FW",Juventus,19,2002,1.3,2,1,0,2,0,1,3,33.3,2,1,0,1,0,2,2,0,Matches
3ef965c1,Flavio Junior Bianchi,it ITA,"FW,MF",Genoa,21,2000,3.5,2,2,1,0,1,0,2,0.0,2,0,0,0,0,2,0,0,Matches
570bb4b9,Hamed Junior Traorè,ci CIV,"FW,MF",Sassuolo,21,2000,19.7,32,18,8,14,10,10,46,21.7,36,22,2,20,12,44,6,1,Matches
d4931a5a,Nikola Kalinić,hr CRO,FW,Hellas Verona,33,1988,4.5,2,0,0,1,1,1,2,50.0,1,2,0,2,0,2,2,0,Matches
f95f49d2,Yayah Kallon,sl SLE,"FW,MF",Genoa,20,2001,7.1,15,11,5,6,4,3,11,27.3,8,7,1,6,1,16,5,0,Matches
85f7d1be,Pierre Kalulu,fr FRA,DF,Milan,21,2000,21.6,61,36,36,21,4,17,22,77.3,5,36,15,21,26,87,54,0,Matches
d3e0c826,Dimitrije Kamenović,rs SRB,DF,Lazio,21,2000,0.5,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,1,0,Matches
9f84febe,Rick Karsdorp,nl NED,"DF,FW",Roma,26,1995,32.0,53,38,33,13,7,28,50,56.0,22,22,5,17,34,87,26,1,Matches
7ae36711,Denso Kasius,nl NED,"DF,FW",Bologna,18,2002,2.0,9,7,5,3,1,2,5,40.0,3,4,0,4,3,12,4,0,Matches
2a82aa85,Grigoris Kastanos,cy CYP,"MF,FW",Salernitana,23,1998,15.0,30,19,9,19,2,7,23,30.4,16,21,5,16,22,52,8,0,Matches
3d50bcdb,Moise Kean,it ITA,FW,Juventus,21,2000,12.2,9,4,2,5,2,6,16,37.5,10,5,0,5,3,12,8,1,Matches
11962fe7,Wajdi Kechrida,tn TUN,"DF,MF",Salernitana,25,1995,10.6,9,6,6,3,0,8,13,61.5,5,10,2,8,8,17,15,0,Matches
6f30a1d5,Dimitrios Keramitsis,gr GRE,MF,Roma,17,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
05e19d6a,Franck Kessié,ci CIV,MF,Milan,24,1996,25.6,41,23,12,24,5,17,26,65.4,9,39,10,29,23,64,22,0,Matches
dc3e663e,Jakub Kiwior,pl POL,MF,Spezia,21,2000,21.8,50,27,25,19,6,26,57,45.6,31,38,15,23,40,90,53,0,Matches
ce1806be,Sofian Kiyine,ma MAR,"MF,FW",Venezia,23,1997,13.8,24,14,9,11,4,12,32,37.5,20,15,1,14,10,34,9,0,Matches
8b8a56ce,Simon Kjær,dk DEN,DF,Milan,32,1989,8.9,20,12,9,8,3,6,12,50.0,6,17,13,4,9,29,39,0,Matches
fec5accc,Aleksandr Kokorin,ru RUS,"FW,MF",Fiorentina,30,1991,0.6,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
eda40760,Aleksandar Kolarov,rs SRB,DF,Inter,35,1985,0.5,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,2,0,Matches
a26fb8aa,Teun Koopmeiners,nl NED,MF,Atalanta,23,1998,23.6,40,24,10,19,11,22,54,40.7,32,31,2,29,15,55,19,0,Matches
da974c7b,Kalidou Koulibaly,sn SEN,DF,Napoli,30,1991,26.7,39,23,31,6,2,25,38,65.8,13,41,25,16,29,68,90,1,Matches
5c522c88,Christos Kourfalidis,gr GRE,"MF,FW",Cagliari,18,2002,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
9d60028d,Viktor Kovalenko,ua UKR,MF,Spezia,25,1996,14.7,16,10,7,8,1,9,21,42.9,12,16,3,13,13,29,8,0,Matches
b804c280,Julian Kristoffersen,no NOR,FW,Salernitana,24,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
817c6964,Rade Krunić,ba BIH,"MF,FW",Milan,27,1993,15.7,33,18,16,14,3,15,31,48.4,16,19,2,17,16,49,17,0,Matches
df3cda47,Dejan Kulusevski,se SWE,"FW,MF",Juventus,21,2000,8.6,15,12,9,6,0,8,21,38.1,13,14,0,14,5,20,5,0,Matches
a40819d9,Marash Kumbulla,al ALB,DF,Roma,21,2000,11.4,21,13,13,7,1,8,15,53.3,7,17,8,9,16,37,26,0,Matches
0a483542,Giorgos Kyriakopoulos,gr GRE,"DF,FW",Sassuolo,25,1996,21.9,30,14,19,7,4,19,38,50.0,19,32,9,23,11,41,52,0,Matches
c375dfa5,Andrea La Mantia,it ITA,"FW,MF",Empoli,30,1991,5.4,2,0,0,0,2,1,2,50.0,1,3,1,2,1,3,6,0,Matches
c283ddef,Sam Lammers,nl NED,"FW,MF",Atalanta,24,1997,0.4,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
09538fdb,Kevin Lasagna,it ITA,"MF,FW",Hellas Verona,28,1992,13.2,13,7,4,5,4,4,15,26.7,11,16,0,16,3,16,7,0,Matches
5128bde4,Darko Lazović,rs SRB,DF,Hellas Verona,30,1990,30.7,36,23,20,8,8,21,39,53.8,18,28,4,24,19,55,49,1,Matches
02caf6e0,Manuel Lazzari,it ITA,DF,Lazio,27,1993,18.5,28,14,13,15,0,16,26,61.5,10,10,2,8,12,40,16,1,Matches
d97ec0d1,Patrick Leal,us USA,FW,Venezia,18,2003,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
20730eae,Rafael Leão,pt POR,FW,Milan,22,1999,28.9,17,7,3,9,5,10,20,50.0,10,12,1,11,12,29,8,0,Matches
4c78b5ed,Lucas Leiva,br BRA,MF,Lazio,34,1987,18.9,55,30,26,25,4,15,53,28.3,38,27,10,17,28,83,37,0,Matches
c9c32262,Luca Lezzerini,it ITA,GK,Venezia,26,1995,5.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
7452c7a8,Ben Lhassine Kone,ci CIV,MF,Torino,21,2000,0.9,3,3,1,2,0,1,2,50.0,1,0,0,0,1,4,1,0,Matches
d6e53a3a,Matthijs de Ligt,nl NED,DF,Juventus,21,1999,29.7,34,19,21,13,0,15,18,83.3,3,31,21,10,26,60,103,0,Matches
59be3a74,Anderson Lima,br BRA,MF,Lazio,21,1999,0.7,2,0,1,1,0,0,2,0.0,2,1,0,1,2,4,1,0,Matches
d023d70f,Karol Linetty,pl POL,"MF,FW",Torino,26,1995,10.0,14,8,3,4,7,6,18,33.3,12,8,0,8,3,17,2,0,Matches
e1cbb531,Stanislav Lobotka,sk SVK,MF,Napoli,26,1994,18.7,39,24,16,20,3,14,36,38.9,22,9,1,8,12,51,13,1,Matches
a8a874f1,Manuel Locatelli,it ITA,MF,Juventus,23,1998,24.0,44,25,21,16,7,21,47,44.7,26,43,21,22,22,66,33,0,Matches
20094685,Maxime Lopez,fr FRA,MF,Sassuolo,23,1997,32.6,69,36,40,27,2,35,87,40.2,52,33,7,26,42,111,38,1,Matches
5fa57166,Matteo Lovato,it ITA,DF,Atalanta,21,2000,3.4,5,4,4,1,0,0,1,0.0,1,4,2,2,7,12,8,0,Matches
5fa57166,Matteo Lovato,it ITA,DF,Cagliari,21,2000,13.8,23,15,13,10,0,8,20,40.0,12,21,10,11,28,51,43,0,Matches
a69e4806,Hirving Lozano,mx MEX,FW,Napoli,26,1995,17.9,28,20,12,11,5,8,30,26.7,22,24,0,24,9,37,9,0,Matches
921f6058,José Luis Palomino,ar ARG,DF,Atalanta,31,1990,29.7,78,40,42,33,3,32,50,64.0,18,43,21,22,100,178,80,2,Matches
c6e8cf1f,Saša Lukić,rs SRB,MF,Torino,24,1996,33.1,51,34,17,27,7,19,43,44.2,24,34,6,28,24,75,41,0,Matches
997fff07,Sebastiano Luperto,it ITA,DF,Empoli,24,1996,21.8,29,17,17,10,2,10,20,50.0,10,32,26,6,45,74,132,0,Matches
5efc5389,Charalambos Lykogiannis,gr GRE,"DF,FW",Cagliari,27,1993,20.2,19,12,16,1,2,11,20,55.0,9,18,8,10,31,50,73,0,Matches
14a96e1c,Niki Mäenpää,fi FIN,GK,Venezia,36,1985,16.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,2,Matches
957e4c87,Giulio Maggiore,it ITA,MF,Spezia,23,1998,31.3,58,32,20,32,6,31,77,40.3,46,30,5,25,29,87,33,0,Matches
07767f42,Francesco Magnanelli,it ITA,MF,Sassuolo,36,1984,3.0,5,4,4,1,0,1,9,11.1,8,3,1,2,1,6,3,0,Matches
cce9f582,Giangiacomo Magnani,it ITA,DF,Hellas Verona,25,1995,5.9,10,7,5,5,0,8,16,50.0,8,5,3,2,10,20,46,0,Matches
cce9f582,Giangiacomo Magnani,it ITA,DF,Sampdoria,25,1995,2.7,4,2,4,0,0,1,1,100.0,0,2,2,0,7,11,12,0,Matches
fcb38f57,Mike Maignan,fr FRA,GK,Milan,26,1995,32.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,4,2,Matches
e3a5814e,Ainsley Maitland-Niles,eng ENG,DF,Roma,23,1997,5.4,8,6,5,0,3,5,14,35.7,9,7,0,7,6,14,7,0,Matches
22bfb57e,Jean-Victor Makengo,fr FRA,MF,Udinese,23,1998,26.1,30,21,7,17,6,15,29,51.7,14,26,6,20,19,49,17,0,Matches
16b9d5cf,Nikola Maksimović,rs SRB,DF,Genoa,29,1991,12.4,14,6,10,4,0,7,9,77.8,2,17,11,6,12,26,61,1,Matches
d6a889ea,Kévin Malcuit,ma MAR,"DF,MF",Napoli,30,1991,3.2,4,2,4,0,0,2,2,100.0,0,3,0,3,8,12,6,0,Matches
801831fe,Daniel Maldini,it ITA,MF,Milan,19,2001,1.6,8,3,4,3,1,2,6,33.3,4,4,0,4,1,9,0,0,Matches
4c8845f7,Youssef Maleh,it ITA,MF,Fiorentina,22,1998,11.3,27,16,8,13,6,12,25,48.0,13,14,1,13,6,33,2,0,Matches
48d5bd33,Ruslan Malinovskyi,ua UKR,"MF,FW",Atalanta,28,1993,17.7,18,10,3,10,5,5,19,26.3,14,27,3,24,5,23,1,0,Matches
7703afb6,Rey Manaj,al ALB,FW,Spezia,24,1997,19.6,19,12,3,11,5,6,26,23.1,20,16,0,16,4,23,13,0,Matches
5aa53281,Gianluca Mancini,it ITA,DF,Roma,25,1996,32.0,41,25,22,18,1,18,33,54.5,15,38,19,19,39,80,69,0,Matches
311027cb,Leonardo Mancuso,it ITA,FW,Empoli,29,1992,4.7,1,1,0,1,0,0,6,0.0,6,2,0,2,1,2,2,0,Matches
c7259b83,Rolando Mandragora,it ITA,MF,Torino,24,1997,14.7,21,10,3,16,2,12,21,57.1,9,18,4,14,10,31,13,0,Matches
c707411f,Kostas Manolas,gr GRE,DF,Napoli,30,1991,3.5,2,2,1,1,0,2,3,66.7,1,2,1,1,4,6,10,1,Matches
91d0fabf,Riccardo Marchizza,it ITA,DF,Empoli,23,1998,15.0,21,15,11,8,2,11,16,68.8,5,15,6,9,10,31,24,0,Matches
8650af85,Gian Marco Ferrari,it ITA,DF,Sassuolo,29,1992,34.7,16,11,10,6,0,10,23,43.5,13,37,27,10,43,59,114,2,Matches
880fcdbb,Davide Marfella,it ITA,GK,Napoli,21,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
aa54ec6f,Pablo Marí,es ESP,DF,Udinese,27,1993,14.9,16,8,8,6,2,8,16,50.0,8,18,12,6,21,37,72,0,Matches
7fac99d4,Răzvan Marin,ro ROU,MF,Cagliari,25,1996,31.3,42,21,16,22,4,24,54,44.4,30,23,5,18,10,52,17,1,Matches
f7036e1c,Lautaro Martínez,ar ARG,FW,Inter,23,1997,25.4,20,10,3,10,7,6,11,54.5,5,21,1,20,18,38,6,0,Matches
3ec3c1c9,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,25,1996,15.9,36,25,23,11,2,21,34,61.8,13,22,9,13,19,55,46,0,Matches
d4535821,Adam Marušić,me MNE,DF,Lazio,28,1992,30.2,30,18,16,12,2,13,32,40.6,19,19,8,11,41,71,71,0,Matches
e0314d87,Andrea Masiello,it ITA,DF,Genoa,35,1986,5.7,5,3,4,1,0,4,7,57.1,3,8,4,4,11,16,20,1,Matches
deb748c9,Aleš Matějů,cz CZE,DF,Venezia,25,1996,8.1,16,12,10,5,1,13,29,44.8,16,10,6,4,9,25,15,0,Matches
64e8ed6d,Borja Mayoral,es ESP,"FW,DF",Roma,24,1997,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
eb0ec070,Pasquale Mazzocchi,it ITA,DF,Venezia,26,1995,13.8,18,8,11,4,3,10,26,38.5,16,11,8,3,21,39,31,1,Matches
eb0ec070,Pasquale Mazzocchi,it ITA,DF,Salernitana,26,1995,14.1,28,19,15,11,2,14,34,41.2,20,5,0,5,11,39,31,0,Matches
cfbf9881,Ibrahima Mbaye,sn SEN,DF,Bologna,26,1994,1.2,1,1,1,0,0,1,2,50.0,1,1,1,0,1,2,6,0,Matches
01c3aff5,Weston McKennie,us USA,MF,Juventus,22,1998,15.2,20,11,11,7,2,8,26,30.8,18,17,8,9,23,43,20,0,Matches
563a68ad,Gary Medel,cl CHI,DF,Bologna,33,1987,31.4,39,23,27,11,1,16,36,44.4,20,30,21,9,44,83,112,0,Matches
6604165d,Filippo Melegoni,it ITA,"MF,FW",Genoa,22,1999,10.9,20,12,5,8,7,8,16,50.0,8,10,1,9,11,31,8,1,Matches
48b3dd60,Arthur Melo,br BRA,MF,Juventus,24,1996,10.7,25,12,10,14,1,13,24,54.2,11,11,2,9,7,32,8,1,Matches
9413b19f,Alex Meret,it ITA,GK,Napoli,24,1997,6.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
c730da00,Yıldırım Mert Çetin,tr TUR,MF,Hellas Verona,24,1997,0.5,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches
89b2c8a9,Dries Mertens,be BEL,"FW,MF",Napoli,34,1987,15.4,16,7,1,11,4,3,16,18.8,13,8,2,6,9,25,2,0,Matches
f49c4ae9,Junior Messias,br BRA,"FW,MF",Milan,30,1991,15.9,34,18,11,14,9,15,34,44.1,19,11,1,10,17,51,17,0,Matches
e63e122d,Kingsley Michael,ng NGA,MF,Bologna,21,1999,0.8,4,1,2,2,0,1,2,50.0,1,2,1,1,1,5,1,1,Matches
