id,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
8b8a56ce,Simon Kjær,dk DEN,DF,Milan,32,1989,8.9,0,5,1,20.0,0.56,0.11,0.00,0.00,9.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
fec5accc,Aleksandr Kokorin,ru RUS,"FW,MF",Fiorentina,30,1991,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
eda40760,Aleksandar Kolarov,rs SRB,DF,Inter,35,1985,0.5,0,1,0,0.0,2.14,0.00,0.00,,37.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
a26fb8aa,Teun Koopmeiners,nl NED,MF,Atalanta,23,1998,23.6,4,28,9,32.1,1.19,0.38,0.14,0.44,23.9,3,0,0,1.7,1.7,0.06,+2.3,+2.3,Matches
da974c7b,Kalidou Koulibaly,sn SEN,DF,Napoli,30,1991,26.7,3,10,7,70.0,0.37,0.26,0.30,0.43,14.9,0,0,0,1.3,1.3,0.13,+1.7,+1.7,Matches
5c522c88,Christos Kourfalidis,gr GRE,"MF,FW",Cagliari,18,2002,0.2,0,1,1,100.0,5.00,5.00,0.00,0.00,8.6,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
9d60028d,Viktor Kovalenko,ua UKR,MF,Spezia,25,1996,14.7,1,8,2,25.0,0.54,0.14,0.13,0.50,24.2,1,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
b804c280,Julian Kristoffersen,no NOR,FW,Salernitana,24,1997,0.1,0,1,0,0.0,12.86,0.00,0.00,,12.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
817c6964,Rade Krunić,ba BIH,"MF,FW",Milan,27,1993,15.7,0,10,2,20.0,0.64,0.13,0.00,0.00,16.2,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
df3cda47,Dejan Kulusevski,se SWE,"FW,MF",Juventus,21,2000,8.6,1,18,6,33.3,2.10,0.70,0.06,0.17,15.1,0,0,0,1.7,1.7,0.10,-0.7,-0.7,Matches
a40819d9,Marash Kumbulla,al ALB,DF,Roma,21,2000,11.4,0,7,3,42.9,0.61,0.26,0.00,0.00,6.7,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Matches
0a483542,Giorgos Kyriakopoulos,gr GRE,"DF,FW",Sassuolo,25,1996,21.9,0,30,10,33.3,1.37,0.46,0.00,0.00,23.2,0,0,0,1.1,1.1,0.04,-1.1,-1.1,Matches
c375dfa5,Andrea La Mantia,it ITA,"FW,MF",Empoli,30,1991,5.4,2,17,3,17.6,3.14,0.55,0.12,0.67,11.1,0,0,0,1.8,1.8,0.11,+0.2,+0.2,Matches
c283ddef,Sam Lammers,nl NED,"FW,MF",Atalanta,24,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
09538fdb,Kevin Lasagna,it ITA,"MF,FW",Hellas Verona,28,1992,13.2,2,41,16,39.0,3.12,1.22,0.05,0.13,16.7,0,0,0,3.3,3.3,0.08,-1.3,-1.3,Matches
5128bde4,Darko Lazović,rs SRB,DF,Hellas Verona,30,1990,30.7,1,46,10,21.7,1.50,0.33,0.02,0.10,17.9,1,0,0,2.9,2.9,0.06,-1.9,-1.9,Matches
02caf6e0,Manuel Lazzari,it ITA,DF,Lazio,27,1993,18.5,3,12,6,50.0,0.65,0.32,0.25,0.50,21.2,0,0,0,0.8,0.8,0.06,+2.2,+2.2,Matches
d97ec0d1,Patrick Leal,us USA,FW,Venezia,18,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
20730eae,Rafael Leão,pt POR,FW,Milan,22,1999,28.9,11,97,38,39.2,3.35,1.31,0.11,0.29,19.0,0,0,0,8.8,8.8,0.09,+2.2,+2.2,Matches
4c78b5ed,Lucas Leiva,br BRA,MF,Lazio,34,1987,18.9,0,3,0,0.0,0.16,0.00,0.00,,23.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
c9c32262,Luca Lezzerini,it ITA,GK,Venezia,26,1995,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7452c7a8,Ben Lhassine Kone,ci CIV,MF,Torino,21,2000,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
d6e53a3a,Matthijs de Ligt,nl NED,DF,Juventus,21,1999,29.7,3,20,10,50.0,0.67,0.34,0.15,0.30,13.4,0,0,0,1.6,1.6,0.08,+1.4,+1.4,Matches
59be3a74,Anderson Lima,br BRA,MF,Lazio,21,1999,0.7,0,1,0,0.0,1.38,0.00,0.00,,8.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
d023d70f,Karol Linetty,pl POL,"MF,FW",Torino,26,1995,10.0,0,13,2,15.4,1.31,0.20,0.00,0.00,19.6,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
e1cbb531,Stanislav Lobotka,sk SVK,MF,Napoli,26,1994,18.7,1,2,1,50.0,0.11,0.05,0.50,1.00,25.5,0,0,0,0.1,0.1,0.06,+0.9,+0.9,Matches
a8a874f1,Manuel Locatelli,it ITA,MF,Juventus,23,1998,24.0,3,21,3,14.3,0.87,0.12,0.14,1.00,19.0,0,0,0,2.2,2.2,0.10,+0.8,+0.8,Matches
20094685,Maxime Lopez,fr FRA,MF,Sassuolo,23,1997,32.6,2,16,6,37.5,0.49,0.18,0.13,0.33,22.6,0,0,0,1.5,1.5,0.09,+0.5,+0.5,Matches
5fa57166,Matteo Lovato,it ITA,DF,Atalanta,21,2000,3.4,0,1,0,0.0,0.30,0.00,0.00,,6.7,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
5fa57166,Matteo Lovato,it ITA,DF,Cagliari,21,2000,13.8,0,6,1,16.7,0.44,0.07,0.00,0.00,14.4,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
a69e4806,Hirving Lozano,mx MEX,FW,Napoli,26,1995,17.9,5,50,19,38.0,2.79,1.06,0.10,0.26,16.9,0,0,0,5.9,5.7,0.11,-0.9,-0.7,Matches
921f6058,José Luis Palomino,ar ARG,DF,Atalanta,31,1990,29.7,1,14,3,21.4,0.47,0.10,0.07,0.33,8.5,0,0,0,2.1,2.1,0.15,-1.1,-1.1,Matches
c6e8cf1f,Saša Lukić,rs SRB,MF,Torino,24,1996,33.1,5,29,7,24.1,0.88,0.21,0.07,0.29,24.7,4,3,3,4.7,2.3,0.08,+0.3,-0.3,Matches
997fff07,Sebastiano Luperto,it ITA,DF,Empoli,24,1996,21.8,0,9,3,33.3,0.41,0.14,0.00,0.00,14.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
5efc5389,Charalambos Lykogiannis,gr GRE,"DF,FW",Cagliari,27,1993,20.2,1,22,7,31.8,1.09,0.35,0.05,0.14,22.9,6,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
14a96e1c,Niki Mäenpää,fi FIN,GK,Venezia,36,1985,16.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
957e4c87,Giulio Maggiore,it ITA,MF,Spezia,23,1998,31.3,2,42,8,19.0,1.34,0.26,0.05,0.25,20.9,0,0,0,4.0,4.0,0.09,-2.0,-2.0,Matches
07767f42,Francesco Magnanelli,it ITA,MF,Sassuolo,36,1984,3.0,0,2,0,0.0,0.66,0.00,0.00,,28.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
cce9f582,Giangiacomo Magnani,it ITA,DF,Hellas Verona,25,1995,5.9,0,5,1,20.0,0.85,0.17,0.00,0.00,7.8,0,0,0,0.9,0.9,0.18,-0.9,-0.9,Matches
cce9f582,Giangiacomo Magnani,it ITA,DF,Sampdoria,25,1995,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
fcb38f57,Mike Maignan,fr FRA,GK,Milan,26,1995,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
e3a5814e,Ainsley Maitland-Niles,eng ENG,DF,Roma,23,1997,5.4,0,3,2,66.7,0.55,0.37,0.00,0.00,18.5,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
22bfb57e,Jean-Victor Makengo,fr FRA,MF,Udinese,23,1998,26.1,1,32,10,31.3,1.23,0.38,0.03,0.10,21.2,0,0,0,3.0,3.0,0.09,-2.0,-2.0,Matches
16b9d5cf,Nikola Maksimović,rs SRB,DF,Genoa,29,1991,12.4,0,3,0,0.0,0.24,0.00,0.00,,8.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
d6a889ea,Kévin Malcuit,ma MAR,"DF,MF",Napoli,30,1991,3.2,0,1,0,0.0,0.31,0.00,0.00,,16.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
801831fe,Daniel Maldini,it ITA,MF,Milan,19,2001,1.6,1,3,1,33.3,1.82,0.61,0.33,1.00,13.4,0,0,0,0.4,0.4,0.14,+0.6,+0.6,Matches
4c8845f7,Youssef Maleh,it ITA,MF,Fiorentina,22,1998,11.3,2,21,5,23.8,1.85,0.44,0.10,0.40,18.5,0,0,0,2.3,2.3,0.11,-0.3,-0.3,Matches
48d5bd33,Ruslan Malinovskyi,ua UKR,"MF,FW",Atalanta,28,1993,17.7,6,57,17,29.8,3.22,0.96,0.11,0.35,22.0,7,0,0,3.3,3.3,0.06,+2.7,+2.7,Matches
7703afb6,Rey Manaj,al ALB,FW,Spezia,24,1997,19.6,5,51,14,27.5,2.60,0.71,0.06,0.21,18.4,6,2,3,7.5,5.1,0.10,-2.5,-2.1,Matches
5aa53281,Gianluca Mancini,it ITA,DF,Roma,25,1996,32.0,0,24,6,25.0,0.75,0.19,0.00,0.00,11.2,0,0,0,2.4,2.3,0.10,-2.4,-2.3,Matches
311027cb,Leonardo Mancuso,it ITA,FW,Empoli,29,1992,4.7,1,12,5,41.7,2.54,1.06,0.08,0.20,14.3,0,0,0,1.9,1.9,0.16,-0.9,-0.9,Matches
c7259b83,Rolando Mandragora,it ITA,MF,Torino,24,1997,14.7,0,23,5,21.7,1.57,0.34,0.00,0.00,24.5,3,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
c707411f,Kostas Manolas,gr GRE,DF,Napoli,30,1991,3.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
91d0fabf,Riccardo Marchizza,it ITA,DF,Empoli,23,1998,15.0,0,8,1,12.5,0.53,0.07,0.00,0.00,21.2,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
8650af85,Gian Marco Ferrari,it ITA,DF,Sassuolo,29,1992,34.7,1,25,10,40.0,0.72,0.29,0.04,0.10,12.0,0,0,0,1.8,1.8,0.07,-0.8,-0.8,Matches
880fcdbb,Davide Marfella,it ITA,GK,Napoli,21,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
aa54ec6f,Pablo Marí,es ESP,DF,Udinese,27,1993,14.9,2,10,5,50.0,0.67,0.34,0.20,0.40,11.5,0,0,0,0.7,0.7,0.07,+1.3,+1.3,Matches
7fac99d4,Răzvan Marin,ro ROU,MF,Cagliari,25,1996,31.3,0,41,7,17.1,1.31,0.22,0.00,0.00,24.8,9,0,0,1.8,1.8,0.04,-1.8,-1.8,Matches
f7036e1c,Lautaro Martínez,ar ARG,FW,Inter,23,1997,25.4,21,112,47,42.0,4.42,1.85,0.16,0.38,13.8,0,3,6,20.9,16.7,0.15,+0.1,+1.3,Matches
3ec3c1c9,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,25,1996,15.9,1,16,4,25.0,1.01,0.25,0.06,0.25,12.1,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
d4535821,Adam Marušić,me MNE,DF,Lazio,28,1992,30.2,1,8,3,37.5,0.26,0.10,0.13,0.33,25.5,0,0,0,0.2,0.2,0.02,+0.8,+0.8,Matches
e0314d87,Andrea Masiello,it ITA,DF,Genoa,35,1986,5.7,0,2,0,0.0,0.35,0.00,0.00,,18.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
deb748c9,Aleš Matějů,cz CZE,DF,Venezia,25,1996,8.1,0,2,2,100.0,0.25,0.25,0.00,0.00,11.2,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
64e8ed6d,Borja Mayoral,es ESP,"FW,DF",Roma,24,1997,1.1,0,1,0,0.0,0.94,0.00,0.00,,14.3,0,0,0,0.3,0.3,0.31,-0.3,-0.3,Matches
eb0ec070,Pasquale Mazzocchi,it ITA,DF,Venezia,26,1995,13.8,0,6,0,0.0,0.43,0.00,0.00,,22.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
eb0ec070,Pasquale Mazzocchi,it ITA,DF,Salernitana,26,1995,14.1,0,5,2,40.0,0.35,0.14,0.00,0.00,23.6,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
cfbf9881,Ibrahima Mbaye,sn SEN,DF,Bologna,26,1994,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
01c3aff5,Weston McKennie,us USA,MF,Juventus,22,1998,15.2,3,23,5,21.7,1.51,0.33,0.13,0.60,16.5,0,0,0,2.1,2.1,0.09,+0.9,+0.9,Matches
563a68ad,Gary Medel,cl CHI,DF,Bologna,33,1987,31.4,0,2,0,0.0,0.06,0.00,0.00,,11.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
6604165d,Filippo Melegoni,it ITA,"MF,FW",Genoa,22,1999,10.9,1,13,7,53.8,1.19,0.64,0.08,0.14,22.1,1,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
48b3dd60,Arthur Melo,br BRA,MF,Juventus,24,1996,10.7,0,2,0,0.0,0.19,0.00,0.00,,19.5,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
9413b19f,Alex Meret,it ITA,GK,Napoli,24,1997,6.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
c730da00,Yıldırım Mert Çetin,tr TUR,MF,Hellas Verona,24,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
89b2c8a9,Dries Mertens,be BEL,"FW,MF",Napoli,34,1987,15.4,11,44,19,43.2,2.86,1.24,0.23,0.53,18.4,4,1,1,4.3,3.6,0.08,+6.7,+6.4,Matches
f49c4ae9,Junior Messias,br BRA,"FW,MF",Milan,30,1991,15.9,5,44,17,38.6,2.77,1.07,0.11,0.29,18.0,0,0,0,3.5,3.5,0.08,+1.5,+1.5,Matches
e63e122d,Kingsley Michael,ng NGA,MF,Bologna,21,1999,0.8,0,1,1,100.0,1.18,1.18,0.00,0.00,35.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
81a4c239,Valentin Mihaila,ro ROU,"MF,FW",Atalanta,21,2000,0.8,0,1,1,100.0,1.18,1.18,0.00,0.00,20.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
33502726,Mikael,br BRA,"FW,MF",Salernitana,22,1999,1.0,0,3,0,0.0,3.10,0.00,0.00,,17.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
5add9b29,Hilmir Mikaelsson,is ISL,FW,Venezia,17,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
bee704fc,Nikola Milenković,rs SRB,DF,Fiorentina,23,1997,32.5,1,23,9,39.1,0.71,0.28,0.04,0.11,16.3,0,0,0,2.1,2.1,0.09,-1.1,-1.1,Matches
4e6dbac4,Sergej Milinković-Savić,rs SRB,MF,Lazio,26,1995,34.4,11,75,31,41.3,2.18,0.90,0.15,0.35,17.5,7,0,0,7.3,7.3,0.10,+3.7,+3.7,Matches
9fa26bc2,Vanja Milinković-Savić,rs SRB,GK,Torino,24,1997,27.0,0,1,0,0.0,0.04,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
a9aa0d1d,Aleksei Miranchuk,ru RUS,"MF,FW",Atalanta,25,1995,8.6,2,14,4,28.6,1.63,0.47,0.14,0.50,18.1,0,0,0,1.4,1.4,0.10,+0.6,+0.6,Matches
34693494,Fabio Miretti,it ITA,MF,Juventus,17,2003,3.6,0,2,0,0.0,0.56,0.00,0.00,,16.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
dd0daf32,Henrikh Mkhitaryan,am ARM,"MF,FW",Roma,32,1989,27.7,5,55,16,29.1,1.98,0.58,0.09,0.31,21.5,0,0,0,3.9,3.9,0.07,+1.1,+1.1,Matches
fdcdb521,Marco Modolo,it ITA,DF,Venezia,32,1989,4.4,0,1,1,100.0,0.23,0.23,0.00,0.00,8.1,0,0,0,0.2,0.2,0.22,-0.2,-0.2,Matches
23610943,Nahuel Molina,ar ARG,DF,Udinese,23,1998,29.3,7,44,16,36.4,1.50,0.55,0.16,0.44,20.5,2,0,0,3.8,3.8,0.09,+3.2,+3.2,Matches
1c8c5aed,Cristian Molinaro,it ITA,DF,Venezia,38,1983,6.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
c1d95617,Lorenzo Montipò,it ITA,GK,Hellas Verona,25,1996,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
129af0db,Álvaro Morata,es ESP,FW,Juventus,28,1992,25.6,9,60,24,40.0,2.35,0.94,0.13,0.33,13.1,1,1,1,8.8,8.1,0.13,+0.2,-0.1,Matches
919dd4b1,Raúl Moro,es ESP,FW,Lazio,18,2002,2.2,0,2,1,50.0,0.90,0.45,0.00,0.00,13.6,0,0,0,0.5,0.5,0.23,-0.5,-0.5,Matches
b64073a0,Andrei Motoc,ro ROU,DF,Salernitana,19,2002,1.0,0,1,0,0.0,1.00,0.00,0.00,,24.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
d9cfca3d,Lys Mousset,fr FRA,"MF,FW",Salernitana,25,1996,1.8,0,2,1,50.0,1.13,0.56,0.00,0.00,21.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
be6c1ccc,Samuel Mráz,sk SVK,FW,Spezia,24,1997,0.6,0,1,0,0.0,1.67,0.00,0.00,,31.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
1295552e,Mert Müldür,tr TUR,DF,Sassuolo,22,1999,22.7,0,9,4,44.4,0.40,0.18,0.00,0.00,22.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
eb2fe5b6,Luis Muriel,co COL,"FW,MF",Atalanta,30,1991,17.1,9,55,16,29.1,3.22,0.94,0.13,0.44,18.8,5,2,2,7.1,5.6,0.10,+1.9,+1.4,Matches
0cadc46d,Vedat Muriqi,xk KVX,FW,Lazio,27,1994,2.4,0,4,2,50.0,1.67,0.84,0.00,0.00,15.5,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
d183e9d6,Nicola Murru,it ITA,DF,Sampdoria,26,1994,10.9,1,3,1,33.3,0.27,0.09,0.33,1.00,16.4,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
a111cf41,Juan Musso,ar ARG,GK,Atalanta,27,1994,32.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
c459a650,Joakim Mæhle,dk DEN,"DF,MF",Atalanta,24,1997,16.3,1,21,4,19.0,1.28,0.24,0.05,0.25,18.8,0,0,0,2.0,2.0,0.10,-1.0,-1.0,Matches
95facda1,Nahitan Nández,uy URU,"MF,DF",Cagliari,25,1995,16.9,0,20,2,10.0,1.18,0.12,0.00,0.00,20.5,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
15e9c7e6,Nani,pt POR,"MF,FW",Venezia,34,1986,3.2,0,3,0,0.0,0.94,0.00,0.00,,24.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
f35430a4,Matija Nastasić,rs SRB,DF,Fiorentina,28,1993,2.4,0,1,1,100.0,0.41,0.41,0.00,0.00,7.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
b1236c63,Ilija Nestorovski,mk MKD,FW,Udinese,31,1990,2.1,1,5,1,20.0,2.39,0.48,0.20,1.00,13.6,0,0,0,0.8,0.8,0.16,+0.2,+0.2,Matches
de135234,Aurélien Nguiamba,fr FRA,MF,Spezia,22,1999,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
cf961d8d,Dimitris Nikolaou,gr GRE,DF,Spezia,22,1998,36.0,0,3,0,0.0,0.08,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
12e6d21a,Jean-Pierre Nsame,cm CMR,FW,Venezia,28,1993,2.7,0,5,0,0.0,1.84,0.00,0.00,,10.0,0,0,0,0.7,0.7,0.14,-0.7,-0.7,Matches
e33f36d5,Bram Nuytinck,nl NED,DF,Udinese,31,1990,22.6,1,10,3,30.0,0.44,0.13,0.10,0.33,8.9,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches
80dbbd10,Simeon Nwankwo,ng NGA,FW,Salernitana,29,1992,9.4,1,20,6,30.0,2.14,0.64,0.05,0.17,10.9,0,0,0,3.2,3.2,0.16,-2.2,-2.2,Matches
a4948e67,M'Bala Nzola,ao ANG,FW,Spezia,24,1996,11.9,2,22,13,59.1,1.85,1.10,0.09,0.15,14.0,0,0,0,2.4,2.4,0.11,-0.4,-0.4,Matches
aa25ce92,Adam Obert,sk SVK,"DF,MF",Cagliari,18,2002,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
614c38fb,Joel Obi,ng NGA,"MF,DF",Salernitana,30,1991,12.7,0,10,2,20.0,0.79,0.16,0.00,0.00,10.7,0,0,0,1.3,1.3,0.13,-1.3,-1.3,Matches
97e8ea97,Brian Oddei,it ITA,FW,Sassuolo,18,2002,0.1,0,1,0,0.0,11.25,0.00,0.00,,12.5,0,0,0,0.1,0.1,0.15,-0.1,-0.1,Matches
1d1691ad,Álvaro Odriozola,es ESP,DF,Fiorentina,25,1995,19.3,1,4,2,50.0,0.21,0.10,0.25,0.50,11.9,0,0,0,1.3,1.3,0.32,-0.3,-0.3,Matches
601ef102,Stefano Okaka,it ITA,FW,Udinese,31,1989,0.2,0,1,0,0.0,4.09,0.00,0.00,,15.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
d125f22f,David Okereke,ng NGA,"FW,MF",Venezia,23,1997,22.8,7,40,19,47.5,1.75,0.83,0.18,0.37,15.6,0,0,0,5.0,5.0,0.12,+2.0,+2.0,Matches
d3b888e3,Christian Oliva,uy URU,MF,Cagliari,25,1996,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
947e036f,Sérgio Oliveira,pt POR,MF,Roma,29,1992,9.9,2,11,5,45.5,1.11,0.50,0.09,0.20,25.2,2,1,1,1.3,0.5,0.05,+0.7,+0.5,Matches
e14ec482,Riccardo Orsolini,it ITA,"FW,MF",Bologna,24,1997,19.8,6,51,16,31.4,2.57,0.81,0.08,0.25,18.8,5,2,2,6.4,4.8,0.09,-0.4,-0.8,Matches
8c90fd7a,Victor Osimhen,ng NGA,FW,Napoli,22,1998,22.0,14,91,29,31.9,4.13,1.32,0.15,0.48,14.2,0,0,0,10.5,10.5,0.12,+3.5,+3.5,Matches
82b1198a,David Ospina,co COL,GK,Napoli,32,1988,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
ed90babd,Adam Ounas,dz ALG,"MF,FW",Napoli,24,1996,3.6,0,13,2,15.4,3.59,0.55,0.00,0.00,18.7,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
cf1c23d8,Daniele Padelli,it ITA,GK,Udinese,35,1985,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8daee720,Simone Pafundi,it ITA,FW,Udinese,15,2006,0.3,0,1,1,100.0,3.91,3.91,0.00,0.00,21.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
f8d41a8c,Martin Palumbo,no NOR,FW,Juventus,19,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
d711d04f,Goran Pandev,mk MKD,"FW,MF",Genoa,38,1983,9.4,0,6,3,50.0,0.64,0.32,0.00,0.00,16.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
457cb02f,Ivor Pandur,hr CRO,GK,Hellas Verona,21,2000,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
0967845b,Fabiano Parisi,it ITA,DF,Empoli,20,2000,16.4,0,16,4,25.0,0.97,0.24,0.00,0.00,21.8,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
e599253a,Mario Pašalić,hr CRO,"MF,FW",Atalanta,26,1995,22.2,13,49,20,40.8,2.20,0.90,0.27,0.65,11.9,0,0,0,8.7,8.7,0.18,+4.3,+4.3,Matches
f7223718,Patric,es ESP,DF,Lazio,28,1993,18.3,1,6,2,33.3,0.33,0.11,0.17,0.50,9.2,0,0,0,0.9,0.9,0.14,+0.1,+0.1,Matches
79b0d6a0,Rui Patrício,pt POR,GK,Roma,33,1988,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
d37b0350,Leonardo Pavoletti,it ITA,FW,Cagliari,32,1988,16.9,5,36,11,30.6,2.13,0.65,0.14,0.45,10.6,0,0,0,6.6,6.6,0.18,-1.6,-1.6,Matches
3ca7254a,Pedro,es ESP,FW,Lazio,34,1987,22.6,9,36,20,55.6,1.59,0.89,0.25,0.45,17.1,0,0,0,4.7,4.7,0.13,+4.3,+4.3,Matches
81255c03,João Pedro,it ITA,FW,Cagliari,29,1992,36.9,13,87,34,39.1,2.36,0.92,0.11,0.29,15.4,2,3,4,12.3,9.3,0.11,+0.7,+0.7,Matches
f058ed1f,Gianluca Pegolo,it ITA,GK,Sassuolo,40,1981,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
a44d3a3c,Pietro Pellegri,it ITA,FW,Torino,20,2001,2.4,1,5,2,40.0,2.08,0.83,0.20,0.50,15.7,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches
a44d3a3c,Pietro Pellegri,it ITA,FW,Milan,20,2001,1.5,0,3,1,33.3,2.06,0.69,0.00,0.00,16.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
4a5a45c7,Lorenzo Pellegrini,it ITA,MF,Roma,25,1996,25.4,9,89,28,31.5,3.50,1.10,0.08,0.25,19.8,11,2,3,8.9,6.4,0.07,+0.1,+0.6,Matches
3b61c9ec,Luca Pellegrini,it ITA,DF,Juventus,22,1999,12.3,0,6,1,16.7,0.49,0.08,0.00,0.00,22.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
4f2908e5,Federico Peluso,it ITA,DF,Sassuolo,37,1984,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7ec7738e,Gastón Pereiro,uy URU,"FW,MF",Cagliari,26,1995,10.8,4,21,9,42.9,1.94,0.83,0.19,0.44,21.6,0,0,0,1.3,1.3,0.06,+2.7,+2.7,Matches
